<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.12	00:03:30.944	157.124	157.190			6
2026.05.12	00:03:31.235	157.128	157.194			6
2026.05.12	00:03:32.148	157.129	157.195			6
2026.05.12	00:03:47.805	157.124	157.190			6
2026.05.12	00:03:52.626	157.136				2
2026.05.12	00:04:00.172	157.136				2
2026.05.12	00:04:23.070	157.122	157.188			6
2026.05.12	00:05:00.100	157.122				2
2026.05.12	00:05:23.289		157.188			4
2026.05.12	00:05:32.932	157.120				2
2026.05.12	00:05:50.676	157.134				2
2026.05.12	00:06:00.020	157.134				2
2026.05.12	00:06:21.386	157.120				2
2026.05.12	00:06:23.489		157.188			4
2026.05.12	00:07:00.254	157.120				2
2026.05.12	00:07:13.779	157.134				2
2026.05.12	00:07:23.707		157.188			4
2026.05.12	00:07:44.471	157.120				2
2026.05.12	00:07:47.475	157.134				2
2026.05.12	00:08:00.129	157.134				2
2026.05.12	00:08:18.486	157.120				2
2026.05.12	00:08:23.905		157.188			4
2026.05.12	00:08:36.566	157.134				2
2026.05.12	00:09:00.038	157.134				2
2026.05.12	00:09:07.274	157.120				2
2026.05.12	00:09:24.148		157.188			4
2026.05.12	00:09:33.479	157.130				2
2026.05.12	00:09:33.780	157.120	157.176			6
2026.05.12	00:09:34.081	157.130	157.188			6
2026.05.12	00:09:34.381	157.120	157.176			6
2026.05.12	00:09:34.682	157.130	157.188			6
2026.05.12	00:09:34.982	157.120	157.176			6
2026.05.12	00:09:35.283	157.130	157.188			6
2026.05.12	00:09:35.584	157.120	157.176			6
2026.05.12	00:09:35.885	157.130	157.188			6
2026.05.12	00:09:36.185	157.120	157.176			6
2026.05.12	00:09:36.485	157.130	157.188			6
2026.05.12	00:09:36.785	157.120	157.176			6
2026.05.12	00:09:37.085		157.188			4
2026.05.12	00:09:55.749	157.134				2
2026.05.12	00:10:00.268	157.120				2
2026.05.12	00:10:00.868	157.133				2
2026.05.12	00:10:01.770	157.120				2
2026.05.12	00:10:02.371	157.134				2
2026.05.12	00:10:03.272	157.120				2
2026.05.12	00:10:04.171	157.135				2
2026.05.12	00:10:07.776	157.138				2
2026.05.12	00:10:11.084	157.120				2
2026.05.12	00:10:32.771	157.122				2
2026.05.12	00:10:37.278		157.188			4
2026.05.12	00:10:53.505	157.138				2
2026.05.12	00:10:58.930	157.122	157.195			6
2026.05.12	00:11:00.137	157.122				2
2026.05.12	00:11:04.056	157.132	157.207			6
2026.05.12	00:11:13.079	157.138				2
2026.05.12	00:11:16.990	157.137				2
2026.05.12	00:11:23.620	157.135				2
2026.05.12	00:11:50.690	157.138	157.202			6
2026.05.12	00:11:55.811	157.135				2
2026.05.12	00:12:00.029	157.135				2
2026.05.12	00:12:50.891		157.202			4
2026.05.12	00:12:53.605	157.142				2
2026.05.12	00:13:00.252	157.142				2
2026.05.12	00:13:20.705	157.135				2
2026.05.12	00:13:21.610	157.144				2
2026.05.12	00:13:24.923	157.135				2
2026.05.12	00:13:51.095		157.202			4
2026.05.12	00:14:00.136	157.135				2
2026.05.12	00:14:03.143	157.143				2
2026.05.12	00:14:03.445	157.135				2
2026.05.12	00:14:04.348	157.143				2
2026.05.12	00:14:33.506	157.135				2
2026.05.12	00:14:51.272		157.202			4
2026.05.12	00:15:00.295	157.135	157.222			6
2026.05.12	00:15:00.901		157.202			4
2026.05.12	00:15:18.664	157.143				2
2026.05.12	00:15:26.483		157.221			4
2026.05.12	00:15:27.086		157.202			4
2026.05.12	00:15:27.384		157.221			4
2026.05.12	00:15:27.966		157.202			4
2026.05.12	00:15:33.975	157.135				2
2026.05.12	00:15:34.576	157.143				2
2026.05.12	00:15:49.910	157.135				2
2026.05.12	00:16:00.148	157.135				2
2026.05.12	00:16:07.068	157.132				2
2026.05.12	00:16:08.269	157.135				2
2026.05.12	00:16:12.474	157.143				2
2026.05.12	00:16:28.120		157.202			4
2026.05.12	00:16:43.475	157.135				2
2026.05.12	00:16:49.789	157.143				2
2026.05.12	00:17:00.026	157.143				2
2026.05.12	00:17:20.474	157.135				2
2026.05.12	00:17:28.288		157.202			4
2026.05.12	00:17:52.072	157.143				2
2026.05.12	00:18:00.195	157.143				2
2026.05.12	00:18:23.071	157.135				2
2026.05.12	00:18:28.479		157.202			4
2026.05.12	00:18:59.159	157.143				2
2026.05.12	00:19:00.063	157.143				2
2026.05.12	00:19:21.407	157.146				2
2026.05.12	00:19:22.311		157.198			4
2026.05.12	00:19:23.214	157.148				2
2026.05.12	00:19:24.116	157.151				2
2026.05.12	00:19:25.026	157.153	157.195			6
2026.05.12	00:19:29.837	157.135				2
2026.05.12	00:19:32.847	157.133	157.194			6
2026.05.12	00:19:33.750		157.193			4
2026.05.12	00:19:34.651	157.135	157.205			6
2026.05.12	00:19:35.554	157.136				2
2026.05.12	00:19:36.755		157.198			4
2026.05.12	00:19:58.400	157.148				2
2026.05.12	00:20:00.205	157.148	157.228			6
2026.05.12	00:20:00.846		157.221			4
2026.05.12	00:20:28.694	157.136				2
2026.05.12	00:21:00.299	157.136				2
2026.05.12	00:21:00.846		157.220			4
2026.05.12	00:21:03.940	157.148				2
2026.05.12	00:21:26.006	157.157	157.231			6
2026.05.12	00:21:33.024	157.141	157.240			6
2026.05.12	00:21:34.414	157.134				2
2026.05.12	00:22:00.176	157.134	157.249			6
2026.05.12	00:22:01.080		157.240			4
2026.05.12	00:22:18.418	157.141				2
2026.05.12	00:22:19.560	157.134				2
2026.05.12	00:22:19.860		157.245			4
2026.05.12	00:22:20.460	157.141	157.240			6
2026.05.12	00:22:49.481	157.134				2
2026.05.12	00:23:01.089	157.134				2
2026.05.12	00:23:21.330		157.240			4
2026.05.12	00:23:32.735	157.135				2
2026.05.12	00:23:44.137	157.141				2
